year mon day hour minute sec lat lot dep mag
2022 4 15 8 5 42.41 29.286599 108.039714 2.01 0.49
2022 4 15 10 0 25.92 29.308122 107.91394 3.06 0.09
2022 4 15 11 4 25.71 29.301455 107.905265 3.03 0.42
2022 4 15 11 9 26.56 29.349709 108.0788 2.11 0.22
2022 4 15 11 22 55.24 29.320508 107.926855 3.12 0.06
2022 4 15 11 30 22.6 29.324774 107.930493 2.77 0.54
2022 4 15 11 36 49.78 29.31616 107.916545 3.38 0.8
2022 4 15 11 53 53.97 29.319722 107.930786 3.92 0.85
2022 4 15 12 26 0.61 29.351575 107.988013 3.35 0.66
2022 4 15 13 17 9.94 29.280804 108.044604 1.56 0.26
2022 4 15 13 24 17.27 29.327586 107.956063 1.21 0.22
2022 4 15 14 6 1.31 29.346289 108.076733 1.54 0.76
2022 4 15 14 6 10.6 29.316313 107.970052 2.58 0.35
2022 4 15 14 8 24.45 29.330575 107.952531 2.15 0.24
2022 4 15 14 29 18.35 29.316964 107.968514 2.49 0.53
2022 4 15 14 50 56.61 29.30485 107.862866 4.52 0.7
2022 4 15 16 24 34.44 29.311873 107.916732 2.69 0.4
2022 4 15 16 31 53.19 29.337356 107.974349 2.21 0.32
2022 4 15 16 32 38.03 29.316659 108.170549 3.48 0.91
2022 4 15 16 39 7.2 29.311861 107.917936 2.88 0.64
2022 4 15 16 53 0.41 29.353341 107.994637 3.55 0.18
2022 4 15 17 49 46.86 29.315678 107.975529 2.39 0.14
2022 4 15 17 50 23.24 29.362313 108.032503 1.24 0.53
2022 4 15 18 37 6.73 29.31921 107.951253 2.41 0.6
2022 4 15 18 39 54.4 29.317495 108.204362 3.29 0.52
2022 4 15 18 41 30.98 29.321106 107.947371 3.23 0.95
2022 4 15 19 43 35.3 29.359947 108.01783 3.08 0.97
2022 4 15 19 57 21.15 29.272343 107.833301 6.06 0.74
2022 4 15 20 10 22.73 29.395386 107.949577 7.95 -0.12
2022 4 15 21 15 51.27 29.278894 107.839233 4.7 1.01
2022 4 15 22 31 19.31 29.317303 107.917 3.06 1.45
2022 4 15 22 50 51.53 29.344427 108.086776 1.65 0.86
2022 4 15 23 27 42.15 29.304454 107.855436 4.78 0.59
2022 4 15 23 55 22.19 29.321193 107.950659 2.04 0.45
2022 4 16 2 52 4.02 29.362339 108.03256 1.45 0.35
2022 4 16 2 59 17.02 29.319318 107.949455 1.99 0.24
2022 4 16 3 8 52.46 29.321295 107.952368 1.72 -0.37
2022 4 16 4 24 21.32 29.299766 107.90363 3.44 0.65
2022 4 16 5 11 24.72 29.283954 107.881405 5.18 0.34
2022 4 16 5 36 28.36 29.316689 107.968424 2.78 0.45
2022 4 16 5 49 14.44 29.28599 108.041642 2.13 0.86
2022 4 16 6 24 16.38 29.337606 107.974308 2.02 0.57
2022 4 16 6 49 37.48 29.317198 107.970638 2.27 0.77
2022 4 16 8 7 20.15 29.321515 107.930184 3.52 0.54
2022 4 16 8 17 33.18 29.279366 107.874756 5.94 0.07
